STATION,STATION_NAME,DATE,EMXT,EMNT
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19800101,55.9,12.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19800201,61.0,9.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19800401,73.9,30.9
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19800501,88.0,39.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19800601,98.1,48.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19800701,100.9,55.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19800801,97.0,57.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19800901,100.0,43.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19801001,82.9,34.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19801101,69.1,24.1
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19801201,73.0,3.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19810101,60.1,5.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19810201,72.0,10.9
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19810301,77.0,21.9
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19810401,84.9,30.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19810501,89.1,39.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19810601,96.1,54.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19810701,98.1,57.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19810801,93.0,48.9
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19810901,91.0,41.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19811001,84.9,28.9
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19811101,73.0,24.1
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19811201,64.9,14.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19820101,54.0,-9.9
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19820201,66.9,18.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19820301,68.0,21.9
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19820401,81.0,18.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19820501,88.0,42.1
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19820601,91.0,53.1
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19820701,97.0,55.9
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19820801,91.9,42.1
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19820901,91.9,45.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19821001,89.1,30.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19821101,82.0,23.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19821201,75.0,14.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19830101,59.0,15.1
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19830201,61.0,1.9
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19830301,79.0,24.1
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19830401,88.0,30.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19830501,86.0,39.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19830601,93.0,52.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19830701,98.1,54.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19830801,102.9,52.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19830901,99.0,37.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19831001,86.0,26.1
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19831101,98.1,25.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19831201,66.0,0.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19840101,61.0,-4.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19840201,69.1,15.1
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19840301,69.1,18.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19840401,79.0,28.9
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19840501,89.1,36.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19840601,96.1,42.1
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19840701,93.9,57.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19840801,91.9,50.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19840901,93.0,39.9
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19841001,84.0,39.9
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19841101,70.0,19.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19841201,77.0,18.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19850101,64.9,-6.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19850201,80.1,12.9
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19850301,82.9,19.9
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19850401,93.0,26.1
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19850501,88.0,36.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19850601,91.9,48.9
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19850701,95.0,53.1
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19850801,99.0,53.1
